,time,min,avg,max
0,1707469072.981799,0.256,0.6645,0.825
1,1707469217.5310278,0.666,0.81224,0.854
2,1707469317.8366199,0.28,0.66691,0.82
3,1707469451.3146117,0.661,0.81224,0.859
4,1707469540.586475,0.69,0.79686,0.849
5,1707469629.8773186,0.367,0.64973,0.786
6,1707469763.365725,0.241,0.67053,0.825
7,1707469896.8420732,0.69,0.81314,0.854
8,1707469986.1213212,0.68,0.79716,0.854
9,1707470108.6003633,0.699,0.81013,0.849
10,1707470186.8111494,0.381,0.65093,0.767
11,1707470331.3315814,0.347,0.65425,0.796
12,1707470475.834197,0.241,0.67746,0.82
13,1707470620.3379872,0.371,0.70128,0.815
14,1707470764.873153,0.26,0.68741,0.83
15,1707470909.384533,0.289,0.72571,0.83
16,1707471020.7419834,0.699,0.81857,0.854
17,1707471132.129234,0.699,0.81767,0.859
18,1707471232.4369767,0.217,0.7046,0.83
19,1707471365.935765,0.69,0.81797,0.859
20,1707471466.2766922,0.222,0.70189,0.83
21,1707471599.772114,0.675,0.81827,0.859
22,1707471689.0477147,0.675,0.80922,0.854
23,1707471778.3269024,0.28,0.6844,0.825
24,1707471900.7855206,0.68,0.81194,0.854
25,1707471990.0480187,0.656,0.79777,0.849
26,1707472123.5390139,0.309,0.67505,0.815
27,1707472268.1089067,0.265,0.6853,0.825
28,1707472401.5801904,0.695,0.82098,0.859
29,1707472501.9018056,0.314,0.68169,0.825
30,1707472635.3800564,0.68,0.81917,0.859
31,1707472735.740036,0.309,0.67958,0.83
32,1707472869.232282,0.671,0.81887,0.863
33,1707472958.5083842,0.661,0.79656,0.849
34,1707473091.9941492,0.415,0.66329,0.796
35,1707473236.4990406,0.314,0.67777,0.83
36,1707473381.035653,0.251,0.70068,0.844
37,1707473525.5897872,0.275,0.70882,0.844
38,1707473690.0800648,0.304,0.76098,0.854
39,1707473834.6358974,0.275,0.68892,0.839
40,1707473968.1721418,0.724,0.8249,0.859
41,1707474057.453138,0.709,0.82309,0.859
42,1707474146.7245338,0.579,0.80349,0.854
43,1707474247.0607514,0.637,0.80561,0.849
44,1707474358.4143593,0.786,0.8249,0.854
45,1707474602.5334148,0.796,0.824,0.854
46,1707474680.7803948,0.791,0.81947,0.849
47,1707474770.1044915,0.791,0.81917,0.849
48,1707474859.4198864,0.791,0.82038,0.854
49,1707474937.6696901,0.777,0.80349,0.835
50,1707475026.955188,0.772,0.80259,0.83
51,1707475184.2143059,0.791,0.81917,0.849
52,1707475262.4827747,0.777,0.8047,0.835
53,1707475429.1910343,0.666,0.69344,0.724
54,1707476486.3803189,0.458,0.80018,0.859
55,1707476608.9048398,0.323,0.75284,0.854
56,1707476742.4530678,0.294,0.66299,0.839
57,1707476887.0480208,0.405,0.69254,0.835
58,1707477031.6661947,0.294,0.67324,0.835
59,1707477154.1851976,0.434,0.65244,0.806
60,1707477287.7406979,0.299,0.6639,0.835
61,1707477464.5806391,0.449,0.65123,0.806
62,1707477598.1141791,0.304,0.66058,0.839
63,1707477742.737719,0.449,0.65214,0.801
64,1707477887.3016984,0.309,0.66088,0.835
65,1707478031.8350902,0.424,0.65244,0.806
66,1707478154.2975461,0.314,0.65757,0.839
67,1707478287.813712,0.415,0.65154,0.801
68,1707478432.4057171,0.314,0.65455,0.839
69,1707478576.9556785,0.405,0.65154,0.806
70,1707478710.487395,0.323,0.65515,0.839
71,1707478855.0693324,0.405,0.65666,0.81
72,1707478999.6272745,0.333,0.65968,0.835
73,1707479144.2079303,0.4,0.65093,0.806
74,1707479288.7586699,0.338,0.64822,0.83
75,1707479411.2171655,0.405,0.64279,0.806
76,1707479544.712995,0.347,0.64038,0.83
77,1707479689.235331,0.415,0.63887,0.806
78,1707479811.6351027,0.318,0.64942,0.825
79,1707479945.163165,0.42,0.65123,0.806
80,1707480089.685798,0.318,0.66028,0.82
81,1707480234.2628236,0.415,0.66179,0.801
82,1707480378.7984242,0.318,0.67113,0.815
83,1707480523.3543894,0.415,0.66088,0.806
84,1707480645.7773933,0.617,0.8044,0.844
85,1707480735.1037033,0.386,0.66299,0.791
86,1707480857.5906072,0.613,0.80983,0.849
87,1707480946.882404,0.41,0.66269,0.801
88,1707481069.349074,0.608,0.81164,0.844
89,1707481158.65063,0.642,0.81676,0.859
90,1707481247.9466975,0.381,0.64762,0.748
91,1707481370.4140618,0.613,0.81857,0.859
92,1707481459.7153199,0.627,0.79566,0.839
93,1707481582.1780143,0.671,0.82008,0.849
94,1707481671.4777503,0.637,0.79897,0.844
95,1707481760.771622,0.352,0.61626,0.714
96,1707481883.2397597,0.632,0.80108,0.839
97,1707481972.5301375,0.371,0.62018,0.719
98,1707482094.9791048,0.627,0.8041,0.844
99,1707482184.2725365,0.651,0.79083,0.83
100,1707482317.8277926,0.424,0.60329,0.695
101,1707482451.3301718,0.675,0.81284,0.844
102,1707482551.6986918,0.434,0.6048,0.69
103,1707482685.2077053,0.666,0.80922,0.844
104,1707482785.5614698,0.444,0.6036,0.69
105,1707482919.0736427,0.646,0.805,0.839
106,1707483019.479399,0.424,0.61294,0.695
107,1707483153.0100915,0.637,0.80138,0.835
108,1707483242.3026357,0.41,0.61807,0.709
109,1707483364.7268004,0.651,0.8053,0.839
110,1707483465.0757463,0.386,0.61777,0.719
111,1707483620.7186859,0.352,0.62048,0.748
112,1707483743.1950567,0.579,0.81013,0.849
113,1707483832.4761493,0.617,0.79475,0.835
114,1707483921.7522306,0.371,0.60752,0.724
115,1707484044.2157063,0.622,0.80048,0.835
116,1707484133.5246727,0.376,0.61505,0.728
117,1707484256.0528014,0.632,0.8047,0.839
118,1707484356.4425216,0.376,0.61415,0.724
119,1707484489.9467907,0.622,0.80108,0.839
120,1707484579.2414236,0.4,0.61294,0.728
121,1707484701.7450235,0.627,0.8044,0.844
122,1707484802.072636,0.415,0.61746,0.728
123,1707484957.6833615,0.54,0.77636,0.83
124,1707485091.1786795,0.415,0.62138,0.728
125,1707485224.6717975,0.637,0.80741,0.839
126,1707485325.0327833,0.42,0.62772,0.728
127,1707485458.5728226,0.627,0.80591,0.839
128,1707485558.9453342,0.424,0.62651,0.733
