,time,x,z
0,1717751973.1754348,0.0,-15.0
1,1717751985.3413632,10.0,0.0
2,1717752082.5653682,0.0,35.0
3,1717752180.6622045,0.0,-20.0
4,1717752192.827427,10.0,0.0
5,1717752277.8938766,0.0,30.0
6,1717752376.0067482,0.0,-20.0
7,1717752388.172889,-10.0,0.0
8,1717752473.2389019,0.0,30.0
9,1717752571.3356736,0.0,-20.0
10,1717752583.5013194,10.0,0.0
11,1717752668.567477,0.0,30.0
12,1717752766.6639159,0.0,-20.0
13,1717752778.8290162,-10.0,0.0
14,1717752863.8794441,0.0,30.0
15,1717753549.8414547,0.0,-15.0
16,1717753561.9895153,10.0,0.0
17,1717753635.0206072,0.0,25.0
18,1717753733.510279,0.0,-20.0
19,1717753745.6805465,-10.0,0.0
20,1717753831.1244302,0.0,30.0
21,1717753917.5912697,0.0,-15.0
22,1717753929.7434444,10.0,0.0
23,1717754002.9030883,0.0,25.0
24,1717754102.46391,0.0,-20.0
25,1717754114.772516,10.0,0.0
26,1717754200.6129653,0.0,30.0
27,1717754300.1492107,0.0,-20.0
28,1717754312.495956,-10.0,0.0
29,1717754398.1083813,0.0,30.0
30,1717755084.8668277,0.0,-15.0
31,1717755097.1638267,10.0,0.0
32,1717755170.6187217,0.0,25.0
33,1717755269.78395,0.0,-20.0
34,1717755282.0123618,10.0,0.0
35,1717755367.9216075,0.0,30.0
36,1717755467.3654659,0.0,-20.0
37,1717755479.6131375,10.0,0.0
38,1717755565.6930745,0.0,30.0
39,1717755652.3832812,0.0,-15.0
40,1717755664.6838899,10.0,0.0
41,1717755738.1859093,0.0,25.0
42,1717755837.3370533,0.0,-20.0
43,1717755849.6173344,10.0,0.0
44,1717755935.432064,0.0,30.0
45,1717756634.5491066,0.0,-20.0
46,1717756646.8820474,10.0,0.0
47,1717756732.6050453,0.0,30.0
48,1717756819.3006132,0.0,-15.0
49,1717756831.6058266,10.0,0.0
50,1717756905.2238674,0.0,25.0
51,1717757004.8998516,0.0,-20.0
52,1717757017.0905354,10.0,0.0
53,1717757102.7365015,0.0,30.0
54,1717757202.0074441,0.0,-20.0
55,1717757214.4546373,10.0,0.0
56,1717757300.5067284,0.0,30.0
57,1717757387.552319,0.0,-15.0
58,1717757399.7649443,10.0,0.0
59,1717757473.0900834,0.0,25.0
60,1717758172.4086905,0.0,-20.0
61,1717758184.7750733,10.0,0.0
62,1717758270.9242496,0.0,30.0
63,1717758370.0973182,0.0,-20.0
64,1717758382.5234215,10.0,0.0
65,1717758468.30743,0.0,30.0
66,1717758567.4874306,0.0,-20.0
67,1717758579.8056808,10.0,0.0
68,1717758665.7626579,0.0,30.0
69,1717758765.1989021,0.0,-20.0
70,1717758777.6116328,10.0,0.0
71,1717758863.283864,0.0,30.0
72,1717758963.1145105,0.0,-20.0
73,1717758975.3168058,10.0,0.0
74,1717759061.8043063,0.0,30.0
75,1717759761.6361067,0.0,-20.0
76,1717759774.0160732,10.0,0.0
77,1717759859.7263947,0.0,30.0
78,1717759946.7203782,0.0,-15.0
79,1717759959.2953014,10.0,0.0
80,1717760032.7404485,0.0,25.0
81,1717760131.9673262,0.0,-20.0
82,1717760144.200352,10.0,0.0
83,1717760229.8214905,0.0,30.0
84,1717760328.5917215,0.0,-20.0
85,1717760340.8629134,-10.0,0.0
86,1717760426.4944415,0.0,30.0
87,1717760525.4265301,0.0,-20.0
88,1717760537.790867,10.0,0.0
89,1717760623.592405,0.0,30.0
90,1717761322.33563,0.0,-20.0
91,1717761334.6147106,-10.0,0.0
92,1717761420.4326625,0.0,30.0
93,1717761519.670486,0.0,-20.0
94,1717761532.045193,-10.0,0.0
95,1717761617.982145,0.0,30.0
96,1717761716.3999143,0.0,-20.0
97,1717761728.5674214,-10.0,0.0
98,1717761813.8054013,0.0,30.0
99,1717761912.2835517,0.0,-20.0
100,1717761924.5162003,-10.0,0.0
101,1717762009.9312525,0.0,30.0
102,1717762108.2594378,0.0,-20.0
103,1717762120.4219644,-10.0,0.0
104,1717762205.8745701,0.0,30.0
